Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|     YFI/USDT |        16 |           0.54 |           8.65 |             8.662 |           0.86 |         7:03:00 |    12     2     2  75.0 |
|    DODO/USDT |        33 |           0.26 |           8.53 |             8.536 |           0.85 |         1:47:00 |    24     3     6  72.7 |
|    MANA/USDT |         7 |           1.16 |           8.15 |             8.089 |           0.80 |         2:26:00 |     5     2     0   100 |
|     SXP/USDT |         5 |           1.57 |           7.86 |             7.867 |           0.78 |         2:53:00 |     4     1     0   100 |
|     MTL/USDT |        49 |           0.16 |           7.84 |             7.853 |           0.78 |         3:56:00 |    30    10     9  61.2 |
|     ETH/USDT |         4 |           1.93 |           7.72 |             7.723 |           0.76 |         2:20:00 |     3     1     0   100 |
|    NEAR/USDT |        20 |           0.39 |           7.78 |             7.650 |           0.76 |         2:21:00 |    14     4     2  70.0 |
|    BAND/USDT |        47 |           0.16 |           7.45 |             7.523 |           0.74 |         1:27:00 |    35     2    10  74.5 |
|    LINA/USDT |        15 |           0.49 |           7.35 |             7.356 |           0.73 |         5:39:00 |    11     2     2  73.3 |
|     BNT/USDT |         5 |           1.46 |           7.31 |             7.312 |           0.72 |         3:51:00 |     3     2     0   100 |
|     ZEN/USDT |         7 |           0.98 |           6.86 |             6.853 |           0.68 |         4:57:00 |     4     3     0   100 |
|    COTI/USDT |        11 |           0.61 |           6.75 |             6.768 |           0.67 |         2:52:00 |     8     2     1  72.7 |
|     CRV/USDT |        29 |           0.23 |           6.72 |             6.727 |           0.67 |         4:45:00 |    18     7     4  62.1 |
| AUCTION/USDT |        55 |           0.12 |           6.65 |             6.648 |           0.66 |         2:01:00 |    37     9     9  67.3 |
|    TROY/USDT |        70 |           0.09 |           6.59 |             6.592 |           0.65 |         2:12:00 |    49     7    14  70.0 |
|    HIVE/USDT |        38 |           0.17 |           6.55 |             6.548 |           0.65 |         3:02:00 |    27     4     7  71.1 |
|     AVA/USDT |        33 |           0.19 |           6.35 |             6.359 |           0.63 |         2:22:00 |    24     3     6  72.7 |
|      DF/USDT |        58 |           0.11 |           6.33 |             6.323 |           0.63 |         3:08:00 |    38     9    11  65.5 |
|    REEF/USDT |        28 |           0.22 |           6.21 |             6.218 |           0.62 |         2:43:00 |    18     6     4  64.3 |
|    BOND/USDT |        85 |           0.07 |           6.06 |             6.077 |           0.60 |         1:25:00 |    63     6    16  74.1 |
|  BADGER/USDT |        22 |           0.27 |           6.04 |             6.042 |           0.60 |         3:19:00 |    14     4     4  63.6 |
|     MKR/USDT |        10 |           0.56 |           5.62 |             5.622 |           0.56 |         2:07:00 |     6     3     1  60.0 |
|     CVP/USDT |        52 |           0.10 |           5.39 |             5.390 |           0.53 |         1:15:00 |    37     3    12  71.2 |
|    KLAY/USDT |        12 |           0.43 |           5.13 |             5.130 |           0.51 |         5:02:00 |     8     2     2  66.7 |
|     TRX/USDT |         9 |           0.50 |           4.51 |             4.510 |           0.45 |         2:49:00 |     5     3     1  55.6 |
|     GRT/USDT |        12 |           0.34 |           4.13 |             4.129 |           0.41 |         5:43:00 |     7     3     2  58.3 |
|    HBAR/USDT |         2 |           2.01 |           4.03 |             4.022 |           0.40 |         2:10:00 |     2     0     0   100 |
|      AR/USDT |        32 |           0.12 |           3.83 |             3.821 |           0.38 |         2:56:00 |    19     8     5  59.4 |
|    FLOW/USDT |        18 |           0.21 |           3.82 |             3.820 |           0.38 |         2:50:00 |    14     1     3  77.8 |
